ids,Gender,Athlete,Height,Weight,Smoking,Sprint,English,Reading,Math,Writing,LiveOnCampus,SleepTime,StudyTime,,,,,,,,,,81.34
39867,0,0,66.07,116.99,2.00,8.929,86.91,53.75,73.52,75.85,0,8,6,,,,,,,,,,
44517,1,1,66.07,137.00,0.00,6.826,69.81,70.58,35.32,70.73,1,5,20.00,,,,,,,,,,
32404,0,0,66.09,145.31,0.00,8.997,84.45,89.39,75.19,78.00,0,7,22.00,,,,,,,,,,
21939,0,1,66.09,9999.00,0.00,5.326,87.70,81.10,61.61,86.00,0,6,5,,,,,,,,,,
48958,1,1,66.14,158.98,2.00,7.079,85.75,77.39,44.70,80.65,0,8,7,,,,,,,,,,
37105,1,1,66.15,9999.00,2.00,6.651,76.62,79.86,59.55,82.14,0,5,3,,,,,,,,,,
43221,1,1,66.17,9999.00,0.00,6.35,76.23,79.79,64.83,83.58,1,5,4,,,,,,,,,,
34623,1,0,66.21,217.45,0.00,6.902,78.20,75.92,46.99,81.43,0,7,8,,,,,,,,,,
20826,0,0,66.21,227.90,0.00,6.229,77.38,67.59,66.59,76.47,1,9,7,,,,,,,,,,
36563,1,0,66.26,151.68,0.00,7.036,83.53,80.02,66.33,84.21,0,5,12,,,,,,,,,,
48509,0,1,66.27,119.07,0.00,4.556,79.81,77.98,65.48,83.37,1,6,5,,,,,,,,,,
27209,1,1,66.28,163.19,0.00,6.167,81.37,72.15,58.36,87.49,0,3,12,,,,,,,,,,
46221,0,1,66.29,153.80,0.00,4.681,82.49,82.01,62.99,75.64,1,3,6,,,,,,,,,,
41411,1,1,66.29,9999.00,0.00,4.64,86.76,74.05,48.78,91.14,1,10,5,,,,,,,,,,
49165,,1,66.32,185.90,2.00,5.846,90.18,91.35,61.72,75.24,0,4,9,,,,,,,,,,
22240,1,1,66.35,138.24,0.00,8.57,86.28,88.13,62.92,90.27,0,4,13,,,,,,,,,,
25034,1,0,66.35,9999.00,0.00,7.403,74.68,75.42,62.08,77.96,1,5,3,,,,,,,,,,
29464,1,0,66.38,124.59,0.00,9.597,85.52,80.77,50.11,83.67,0,5,9,,,,,,,,,,
20615,1,0,66.40,167.57,0.00,5.37,85.44,85.49,69.92,84.34,1,7,6,,,,,,,,,,
38365,0,1,66.41,175.20,0.00,5.808,77.09,79.08,60.93,76.27,1,10,5,,,,,,,,,,
48112,1,1,66.52,166.58,0.00,6.364,77.66,87.67,75.85,78.00,0,4,10,,,,,,,,,,
26510,0,1,66.56,196.32,0.00,5.002,99.56,85.94,80.59,79.12,0,4,11,,,,,,,,,,
41156,1,1,66.61,172.85,0.00,5.083,85.89,81.11,72.83,90.81,0,6,16,,,,,,,,,,
26034,1,1,66.63,153.12,0.00,6.86,89.29,96.80,93.78,88.77,0,7,10,,,,,,,,,,
47339,1,1,66.63,164.82,0.00,6.092,69.78,77.16,62.23,78.04,0,10,13,,,,,,,,,,
32929,0,1,66.63,169.60,0.00,6.75,76.00,78.35,55.21,70.56,0,2,12.00,,,,,,,,,,
26262,0,0,66.64,161.08,0.00,7.207,83.59,81.11,83.54,76.56,0,8,11,,,,,,,,,,
26223,1,0,66.67,224.44,0.00,6.78,87.29,89.62,69.11,75.00,0,4,17,,,,,,,,,,
33348,1,1,66.68,144.26,0.00,6.160,82.61,76.39,53.91,85.18,1,3,14,,,,,,,,,,
39298,1,1,66.68,152.33,1.00,6.233,75.65,77.24,60.24,75.23,0,2,10,,,,,,,,,,
28942,1,1,66.69,180.57,0.00,6.076,68.27,93.88,55.20,78.18,0,2,15,,,,,,,,,,
36404,0,0,66.72,190.07,0.00,8.112,78.65,63.48,63.19,80.27,0,4,24.00,,,,,,,,,,
23767,0,1,66.82,166.55,0.00,5.654,77.42,79.14,60.06,76.25,1,4,11,,,,,,,,,,
44640,1,1,66.89,127.14,0.00,4.810,83.17,95.24,69.33,78.40,0,4,7,,,,,,,,,,
42826,0,1,66.91,156.65,1.00,5.648,83.41,86.06,77.26,79.55,0,5,5,,,,,,,,,,
35676,1,1,66.91,177.89,2.00,4.68,79.94,76.74,62.53,84.78,1,4,0,,,,,,,,,,
20183,0,0,66.92,192.61,0.00,7.407,83.30,82.98,68.82,75.49,0,6,5,,,,,,,,,,
29363,1,0,66.93,218.56,2.00,6.615,90.33,96.79,69.79,84.00,1,4,26.00,,,,,,,,,,
28460,1,1,66.95,161.61,0.00,5.632,77.68,73.78,61.55,86.28,1,4,3,,,,,,,,,,
25740,1,0,66.97,154.81,0.00,8.285,82.56,89.88,81.44,78.00,0,4,3,,,,,,,,,,
38418,0,0,66.99,122.67,0.00,7.080,69.32,66.09,51.08,80.44,1,7,5,,,,,,,,,,
22167,0,0,67.02,214.95,0.00,7.610,80.08,75.46,71.20,74.78,0,4,16,,,,,,,,,,
24656,1,0,67.11,9999.00,0.00,8.224,81.68,88.16,70.56,72.53,1,6,3,,,,,,,,,,
41092,0,0,67.12,261.92,0.00,7.113,91.79,84.44,66.76,88.03,1,4,11,,,,,,,,,,
43678,,1,67.15,187.29,0.00,5.108,73.31,81.99,73.20,74.14,1,2,4,,,,,,,,,,
25577,1,0,67.18,178.16,2.00,8.138,91.36,77.64,59.33,89.69,1,7,4,,,,,,,,,,
32304,1,1,67.24,157.19,0.00,5.404,82.77,73.27,55.81,79.15,1,6,2,,,,,,,,,,
48238,0,0,67.24,272.58,2.00,5.295,78.90,68.82,62.43,75.59,0,6,12,,,,,,,,,,
48816,1,0,67.26,182.98,2.00,5.78,86.89,74.50,66.02,83.58,1,7,5,,,,,,,,,,
24985,1,0,67.27,9999.00,1.00,7.025,78.66,77.65,56.04,76.00,1,8,11,,,,,,,,,,
25866,1,1,67.29,158.08,0.00,6.212,77.78,85.61,65.15,76.63,0,5,10,,,,,,,,,,
35599,0,0,67.29,218.97,1.00,7.323,74.07,73.45,63.54,83.00,1,5,3,,,,,,,,,,
48529,1,0,67.31,154.31,0.00,7.819,84.16,80.63,64.30,83.45,0,0,23.00,,,,,,,,,,
25221,0,1,67.31,206.56,0.00,5.020,73.12,87.62,63.49,69.56,1,6,2,,,,,,,,,,
45559,0,0,67.32,216.58,1.00,6.451,76.55,74.41,64.20,71.37,0,7,4,,,,,,,,,,
39413,1,1,67.42,9999.00,0.00,4.927,89.35,71.08,59.71,77.94,0,6,8.00,,,,,,,,,,
24559,1,1,67.43,128.17,2.00,7.38,82.61,77.30,65.52,80.45,1,7,3,,,,,,,,,,
27496,1,0,67.51,251.41,0.00,7.035,74.85,70.41,65.51,83.06,0,3,11,,,,,,,,,,
34417,1,1,67.54,9999.00,0.00,5.138,80.95,73.22,61.00,81.69,0,7,23.00,,,,,,,,,,
49931,0,1,67.55,158.70,0.00,5.140,84.34,66.53,63.70,75.77,0,5,10,,,,,,,,,,
39006,1,1,67.56,151.53,0.00,6.663,89.49,86.13,65.30,84.68,0,4,10,,,,,,,,,,
42681,0,1,67.58,192.06,1.00,5.771,69.96,78.19,68.17,78.57,1,7,13,,,,,,,,,,
31160,1,1,67.63,167.76,1.00,5.413,81.45,88.50,64.31,77.29,1,5,9,,,,,,,,,,
36693,1,0,67.65,127.16,2.00,9.475,80.53,87.96,64.28,81.96,1,5,5,,,,,,,,,,
42474,1,0,67.65,215.38,0.00,7.266,81.29,84.10,78.69,74.30,0,2,6,,,,,,,,,,
34591,1,0,67.68,155.29,1.00,8.408,79.43,75.91,59.55,78.19,0,7,18,,,,,,,,,,
39033,1,1,67.69,164.02,0.00,5.791,80.97,70.75,60.08,76.89,0,7,9,,,,,,,,,,
36336,1,0,67.70,123.31,0.00,8.103,82.15,96.24,67.59,79.11,0,3,4,,,,,,,,,,
27765,1,1,67.71,196.48,0.00,5.978,70.26,69.19,64.17,66.76,1,5,11,,,,,,,,,,
20680,1,1,67.73,169.90,0.00,6.621,85.34,84.05,50.70,46.00,1,6,2,,,,,,,,,,
28053,1,0,67.77,150.92,0.00,8.170,88.16,80.86,58.27,78.20,1,7,3,,,,,,,,,,
32712,0,0,67.81,318.87,2.00,5.990,90.29,78.63,65.35,76.83,0,3,9,,,,,,,,,,
28570,0,0,67.93,136.96,2.00,5.38,71.28,66.97,59.05,77.43,1,9,5.00,,,,,,,,,,
32415,,1,67.98,194.94,0.00,7.55,87.86,75.84,65.55,77.06,1,6,3,,,,,,,,,,
30329,0,0,67.99,215.85,2.00,6.082,82.28,81.52,65.08,77.40,0,5,14,,,,,,,,,,
38631,0,1,68.07,190.81,0.00,6.36,94.67,94.17,81.01,86.68,0,7,8,,,,,,,,,,
26771,1,1,68.09,124.09,1.00,6.641,92.20,83.69,69.35,91.78,0,4,12.00,,,,,,,,,,
44533,0,0,68.09,9999.00,0.00,8.755,98.81,80.59,67.84,81.60,1,10,5,,,,,,,,,,
34272,0,1,68.10,130.07,0.00,6.78,81.05,85.76,58.16,81.87,0,6,10,,,,,,,,,,
36406,1,0,68.21,219.26,0.00,7.337,82.46,98.48,60.56,78.51,1,4,8,,,,,,,,,,
37553,0,0,68.22,167.04,0.00,8.221,82.86,80.98,67.23,79.49,0,3,5,,,,,,,,,,
49821,1,1,68.23,164.31,1.00,5.637,71.93,67.04,62.64,89.00,0,4,15.00,,,,,,,,,,
49947,1,1,68.32,160.54,0.00,5.503,71.12,56.53,55.43,73.56,1,7,9,,,,,,,,,,
37615,1,1,68.33,156.75,1.00,5.769,76.01,79.17,65.63,84.00,1,5,7,,,,,,,,,,
49386,1,0,68.33,170.81,0.00,8.678,56.87,70.50,57.16,90.66,1,6,11,,,,,,,,,,
41503,0,0,68.35,216.11,0.00,6.326,85.29,72.55,67.54,80.46,1,5,13,,,,,,,,,,
36173,1,1,68.37,171.67,2.00,6.295,76.98,69.59,66.05,71.83,1,5,4,,,,,,,,,,
31227,1,0,68.38,149.67,2.00,7.494,82.28,81.25,61.78,78.66,1,10,5,,,,,,,,,,
21606,1,1,68.40,159.92,0.00,5.671,83.33,94.15,67.51,74.97,1,2,6,,,,,,,,,,
34800,1,1,68.42,168.86,2.00,6.54,74.74,73.12,54.49,78.87,1,5,3,,,,,,,,,,
28980,0,1,68.45,171.61,0.00,4.650,70.10,77.54,61.40,77.48,1,8,3,,,,,,,,,,
40697,0,0,68.50,131.92,0.00,9.125,91.01,86.87,70.25,82.67,0,6,15,,,,,,,,,,
29470,1,1,68.53,143.69,0.00,4.770,75.43,79.27,66.95,76.09,0,10,9,,,,,,,,,,
33312,0,1,68.56,163.96,0.00,4.750,78.98,87.53,76.71,70.79,1,9,9,,,,,,,,,,
44736,0,1,68.62,188.81,0.00,5.393,87.96,90.10,70.07,83.00,0,4,4,,,,,,,,,,
29142,1,0,68.67,9999.00,0.00,6.572,89.48,78.00,59.24,81.95,1,4,0,,,,,,,,,,
40390,1,1,68.84,154.70,0.00,6.279,75.65,76.54,51.14,75.94,0,5,3,,,,,,,,,,
48033,1,1,68.84,175.69,0.00,4.621,83.89,75.34,53.49,72.11,0,5,25.00,,,,,,,,,,
43676,1,0,68.86,133.01,0.00,7.620,87.00,81.94,47.07,78.77,0,3,13.00,,,,,,,,,,
32187,0,1,68.88,152.39,0.00,4.704,89.08,89.63,67.43,72.86,1,6,10,,,,,,,,,,
45928,1,0,68.91,144.17,2.00,9.159,81.07,85.37,67.43,78.32,0,5,10,,,,,,,,,,
26140,1,1,69.02,195.56,0.00,4.634,83.15,83.95,77.60,89.07,0,5,5,,,,,,,,,,
48591,0,1,69.09,198.92,0.00,4.695,67.77,77.46,59.51,64.00,0,6,21.00,,,,,,,,,,
44116,1,0,69.25,183.68,1.00,4.67,82.99,74.41,61.40,81.12,1,5,15,,,,,,,,,,
33628,1,1,69.27,157.26,2.00,6.905,75.59,85.97,66.84,79.35,0,4,10,,,,,,,,,,
27688,1,0,69.41,170.86,1.00,7.652,86.99,84.61,78.33,84.56,1,7,3,,,,,,,,,,
44413,1,0,69.43,207.72,0.00,8.157,86.85,91.25,76.93,84.01,0,5,9,,,,,,,,,,
